datetime,precip_mm,temp_C,shortwave_Wm2,longwave_Wm2,wind_mps,pressure
2025-01-01 00:00:00,2.447,5.172,0.0,320.125,7.62,1009.946
2025-01-01 01:00:00,2.383,5.172,129.41,384.656,7.993,987.605
2025-01-01 02:00:00,3.192,5.172,250.0,384.239,8.049,997.114
2025-01-01 03:00:00,0.759,5.172,353.553,364.49,7.289,988.409
2025-01-01 04:00:00,1.788,5.172,433.013,322.71,8.959,1013.289
2025-01-01 05:00:00,0.81,5.172,482.963,328.45,9.697,991.719
2025-01-01 06:00:00,2.571,5.172,500.0,356.262,5.684,993.396
2025-01-01 07:00:00,0.969,5.172,482.963,418.758,6.168,987.958
2025-01-01 08:00:00,3.021,5.172,433.013,400.766,4.328,998.262
2025-01-01 09:00:00,2.15,5.172,353.553,339.882,5.767,980.136
2025-01-01 10:00:00,0.06,5.172,250.0,408.004,7.224,1011.904
2025-01-01 11:00:00,0.543,5.172,129.41,403.684,7.491,1007.232
2025-01-01 12:00:00,0.969,5.172,0.0,327.377,5.457,1006.781
2025-01-01 13:00:00,5.085,5.172,0.0,301.737,6.391,980.217
2025-01-01 14:00:00,1.388,5.172,0.0,343.424,5.116,980.311
2025-01-01 15:00:00,0.245,5.172,0.0,333.069,6.18,1005.218
2025-01-01 16:00:00,0.27,5.172,0.0,405.622,8.235,1002.012
2025-01-01 17:00:00,1.624,5.172,0.0,302.698,6.153,1010.638
2025-01-01 18:00:00,0.74,5.172,0.0,397.299,5.165,1005.487
2025-01-01 19:00:00,0.783,5.172,0.0,383.571,8.627,1001.576
2025-01-01 20:00:00,1.615,5.172,0.0,363.903,9.254,1001.22
2025-01-01 21:00:00,0.178,5.172,0.0,316.027,7.448,987.95
2025-01-01 22:00:00,1.87,5.172,0.0,370.182,9.89,998.308
2025-01-01 23:00:00,2.195,5.172,0.0,384.904,6.597,987.071
2025-01-02 00:00:00,2.345,5.344,0.0,388.274,4.842,990.328
2025-01-02 01:00:00,1.943,5.344,129.41,327.909,9.352,994.355
2025-01-02 02:00:00,0.586,5.344,250.0,367.925,5.253,988.637
2025-01-02 03:00:00,0.973,5.344,353.553,322.388,4.694,990.949
2025-01-02 04:00:00,0.06,5.344,433.013,320.589,7.44,996.838
2025-01-02 05:00:00,2.676,5.344,482.963,414.245,4.298,1016.426
2025-01-02 06:00:00,0.675,5.344,500.0,393.946,6.067,995.051
2025-01-02 07:00:00,3.75,5.344,482.963,367.737,8.048,983.388
2025-01-02 08:00:00,1.471,5.344,433.013,336.892,9.311,998.919
2025-01-02 09:00:00,0.128,5.344,353.553,370.415,7.246,991.909
2025-01-02 10:00:00,1.09,5.344,250.0,304.666,9.37,1006.076
2025-01-02 11:00:00,0.385,5.344,129.41,416.109,5.915,1013.229
2025-01-02 12:00:00,1.995,5.344,0.0,369.544,9.17,981.381
2025-01-02 13:00:00,0.736,5.344,0.0,397.206,4.977,989.982
2025-01-02 14:00:00,4.211,5.344,0.0,395.078,8.901,1004.16
2025-01-02 15:00:00,0.128,5.344,0.0,304.676,8.759,1000.716
2025-01-02 16:00:00,1.306,5.344,0.0,409.434,8.585,998.486
2025-01-02 17:00:00,0.493,5.344,0.0,409.43,4.138,991.392
2025-01-02 18:00:00,1.182,5.344,0.0,348.658,8.015,998.343
2025-01-02 19:00:00,0.548,5.344,0.0,409.977,9.366,982.204
2025-01-02 20:00:00,3.541,5.344,0.0,376.508,8.806,986.201
2025-01-02 21:00:00,1.163,5.344,0.0,305.678,8.143,981.671
2025-01-02 22:00:00,1.451,5.344,0.0,410.293,4.888,1010.705
2025-01-02 23:00:00,0.105,5.344,0.0,415.503,7.149,982.403
2025-01-03 00:00:00,0.812,5.516,0.0,400.075,9.409,999.465
2025-01-03 01:00:00,2.622,5.516,129.41,349.259,5.709,1010.231
2025-01-03 02:00:00,1.172,5.516,250.0,310.644,6.926,1001.574
2025-01-03 03:00:00,1.338,5.516,353.553,371.123,9.853,998.753
2025-01-03 04:00:00,0.382,5.516,433.013,332.272,8.314,1017.2
2025-01-03 05:00:00,0.951,5.516,482.963,335.498,7.101,1002.41
2025-01-03 06:00:00,1.562,5.516,500.0,360.271,6.334,987.697
2025-01-03 07:00:00,0.673,5.516,482.963,366.275,8.639,980.034
2025-01-03 08:00:00,1.034,5.516,433.013,333.427,7.431,981.665
2025-01-03 09:00:00,2.11,5.516,353.553,379.918,8.078,998.24
2025-01-03 10:00:00,0.587,5.516,250.0,352.275,4.489,985.875
2025-01-03 11:00:00,2.193,5.516,129.41,376.219,7.699,990.087
2025-01-03 12:00:00,0.554,5.516,0.0,394.849,9.535,1006.895
2025-01-03 13:00:00,2.902,5.516,0.0,305.849,5.829,980.198
2025-01-03 14:00:00,0.836,5.516,0.0,369.616,9.218,999.254
